source_id,url,fetched_title,claim_id,claim_text,overlap_score,note
cmpm1mbnv091fsaert0kkohw5,https://pubmed.ncbi.nlm.nih.gov/17396000,Historical perspectives on the clinical development of bisphosphonates in the treatment of bone diseases.,cmpm1mbog091gsaer1tes0um8,"Bisphosphonates (formerly termed diphosphonates) were first synthesized in the late 1800s; however, their clinical use has been relatively recent. The bisphosphonates' affinity for hydroxyapatite crys",0.14,PubMed PMID 17396000: title has low overlap with claim
cmpm1p9l211hesat0caum7hew,https://pubmed.ncbi.nlm.nih.gov/12796356,Soft tissue sarcomas of adults: state of the translational science.,cmpm1p9ln11hfsat0l4h4okp8,"Sarcomas--like leukemias, which are also mesodermal malignancies--carry biological significance disproportionate to their clinical frequency. Identification of mutations and translocations associated ",0.00,PubMed PMID 12796356: title has low overlap with claim
cmpm1h7eb06sjsaerwvpzt8zx,https://pubmed.ncbi.nlm.nih.gov/9635566,Biological properties of recombinant alpha-interferons: 40th anniversary of the discovery of interferons.,cmpm1h7eu06sksaeruud6mrlu,"IFNs were first described as potent antiviral agents 40 years ago, and recombinant IFN-alpha2a and IFN-alpha2b were approved for the treatment of hairy cell leukemia just 11 years ago. Today, alpha-IF",0.13,PubMed PMID 9635566: title has low overlap with claim
cmpm36i2x0yo3saeritj1gpbg,https://pubmed.ncbi.nlm.nih.gov/11890563,Six-year perspectives on the safety and tolerability of nefazodone.,cmpm36i3j0yo4saeroeyey7sf,"Although quetiapine was introduced as an atypical antipsychotic drug with clinical efficacy in schizophrenia patients, it has been used in a variety of disease states over the last 5 years. The most c",0.00,PubMed PMID 11890563: title has low overlap with claim
cmpm0c9un0fc0sat0puax2ca3,https://pubmed.ncbi.nlm.nih.gov/9079042,"A clinical and experimental study of tendon injury, healing and treatment in the horse.",cmpm0c9v70fc1sat0d90pbvkk,This project was carried out over a five year period (1977 to 1981 inclusive) at the University of Bristol following discussion between the British Veterinary Association and the Royal College of Vete,0.00,PubMed PMID 9079042: title has low overlap with claim
cmplzmmdn03c0sat0gsrmyitu,https://pubmed.ncbi.nlm.nih.gov/10606224,The hypoxic cell: a target for selective cancer therapy--eighteenth Bruce F. Cain Memorial Award lecture.,cmplzmme703c1sat079c6j4oa,"It has been appreciated for more than 50 years that very low levels of oxygenation, or hypoxia, both protect cells from killing by X-irradiation and are present in solid tumors but not in normal tissu",0.00,PubMed PMID 10606224: title has low overlap with claim
cmplzwt53083usat0w4s61rag,https://pubmed.ncbi.nlm.nih.gov/22314561,"Stress and the gut: pathophysiology, clinical consequences, diagnostic approach and treatment options.",cmplzwt5o083vsat0gp4ivn5c,"Stress, which is defined as an acute threat to homeostasis, shows both short- and long-term effects on the functions of the gastrointestinal tract. Exposure to stress results in alterations of the bra",0.14,PubMed PMID 22314561: title has low overlap with claim
cmpm04of10brosat0ufcmhmxg,https://pubmed.ncbi.nlm.nih.gov/12512688,Nitric oxide as a unique signaling molecule in the vascular system: a historical overview.,cmpm04ofk0brpsat0zoqmjvux,"In retrospect, basic research in the fields of NO and cyclic GMP during the past two decades appears to have followed a logical course beginning with the findings that NO and cyclic GMP are vascular s",0.11,PubMed PMID 12512688: title has low overlap with claim
cmpm05s8x0caosat09zelokvn,https://pubmed.ncbi.nlm.nih.gov/1797718,Thinking about thinking: some clinical and theoretical considerations in the treatment of a borderline patient.,cmpm05s9i0capsat08ursrmo6,"This paper addresses a specific aspect of pathological mental functioning in so-called borderline patients. Analytic work with a borderline man is presented to show that an inhibition of, and defences",0.14,PubMed PMID 1797718: title has low overlap with claim
cmpm25hut0k06sadny34jhzwl,https://pubmed.ncbi.nlm.nih.gov/7583624,Schizophrenia: a disconnection syndrome?,cmpm25hve0k07sadn8exo8q9i,We review the evidence of pathophysiological changes in the prefrontal and temporal cortices of schizophrenic subjects and of abnormal integration of the physiological dynamics in these two regions. T,0.00,PubMed PMID 7583624: title has low overlap with claim
cmpm2d0hh0kwfsaeradgjozzx,https://pubmed.ncbi.nlm.nih.gov/17220536,Cytisine for the treatment of nicotine addiction: from a molecule to therapeutic efficacy.,cmpm2d0i20kwgsaeroy0dptvd,"Cytisine, a natural plant alkaloid, has been marketed in Central and Eastern Europe for over 40 years for the clinical management of smoking cessation. Despite the fact that cytisine has been used by ",0.14,PubMed PMID 17220536: title has low overlap with claim
cmpm2djsc0nqosadnpk455zp1,https://pubmed.ncbi.nlm.nih.gov/10127041,Building a learning organization.,cmpm2djsw0nqpsadne1yftjfk,"Continuous improvement programs are proliferating as corporations seek to better themselves and gain an edge. Unfortunately, however, failed programs far outnumber successes, and improvement rates rem",0.00,PubMed PMID 10127041: title has low overlap with claim
cmpm1yg0c15j2sat0fbchpe6a,https://pubmed.ncbi.nlm.nih.gov/7723457,The significance of treatment effects: the clinical perspective.,cmpm1yg0u15j3sat0maklennl,"It is important for clinicians to understand changes or differences in health status scores so they can interpret published research, clinical changes among their patients, and sample size estimates i",0.00,PubMed PMID 7723457: title has low overlap with claim
cmpm4j1e61o2isadnvjz57hx2,https://pubmed.ncbi.nlm.nih.gov/11232138,Problems for clinical judgement: introducing cognitive psychology as one more basic science.,cmpm4j1eq1o2jsadnj9wi11es,"Medical practice is not easy because of its inherent widespread uncertainty. Some questions are settled eventually through clinical trials, whereas others are impossible to resolve. Between these 2 ex",0.13,PubMed PMID 11232138: title has low overlap with claim
cmpm5dwwn1zwrsaerdql6tu5i,https://pubmed.ncbi.nlm.nih.gov/8639168,Guidelines for monitoring drug therapy in rheumatoid arthritis. American College of Rheumatology Ad Hoc Committee on Clinical Guidelines.,cmpm5dwx61zwssaer2mb7mt8m,"Drugs used to treat RA may cause death, disability, and diseases, especially if the treatment continues in the setting of undetected toxicity. Prevention of toxicity may be enhanced by pretreatment as",0.10,PubMed PMID 8639168: title has low overlap with claim
cmpm2uph50t5lsaervkqoj6rt,https://pubmed.ncbi.nlm.nih.gov/17455888,The use of fillers and botulinum toxin type A in combination with superficial glycolic acid (alpha-hydroxy acid) peels: optimizing injection therapy with the skin-smoothing properties of peels.,cmpm2upho0t5msaerr2wwjnfb,Propionibacterium acnes is an anaerobic bacterium that plays an important role in the pathogenesis of acne. Certain antibiotics that can inhibit P acnes colonization also have demonstrated anti-inflam,0.00,PubMed PMID 17455888: title has low overlap with claim
cmpm60vvk2deisadn9mjdlnfw,https://pubmed.ncbi.nlm.nih.gov/16845211,Modulatory effect of sildenafil in diabetes and electroconvulsive shock-induced cognitive dysfunction in rats.,cmpm60vw52dejsadnlrzkh0zt,"The nitric oxide/guanylyl cyclase, cyclic guanosine monophosphate/phosphodiesterase 5 (NO/cGMP/PDE5) pathways play a key role in physiological and pathological situations, such as synaptic plasticity,",0.13,PubMed PMID 16845211: title has low overlap with claim
cmpm69y0f2f68safw1ih271le,https://pubmed.ncbi.nlm.nih.gov/12098013,"Replacement, reduction and refinement.",cmpm69y0z2f69safwvb28cpsf,"In 1959, William Russell and Rex Burch published ""The Principles of Humane Experimental Technique"". They proposed that if animals were to be used in experiments, every effort should be made to Replace",0.00,PubMed PMID 12098013: title has low overlap with claim
cmpm6fxij2kjcsadn9p06z66r,https://pubmed.ncbi.nlm.nih.gov/12964393,The quest for resilience.,cmpm6fxj22kjdsadnkj9xumsx,"In less turbulent times, executives had the luxury of assuming that business models were more or less immortal. Companies always had to work to get better, but they seldom had to get different--not at",0.00,PubMed PMID 12964393: title has low overlap with claim
cmpm6gxbh2i9rsaerzj5d1p0v,https://pubmed.ncbi.nlm.nih.gov/10546786,Attaining higher goals in HIV treatment: the central importance of adherence.,cmpm6gxc22i9ssaerj4t3ormo,"In recent years, advances in HIV therapeutics have changed the nature of HIV/AIDS disease, so that it has now assumed some of the characteristics of a 'chronic' disease. Several factors have, however,",0.00,PubMed PMID 10546786: title has low overlap with claim
cmpm8a9zt3d3ksafwxu7s34ki,https://pubmed.ncbi.nlm.nih.gov/9017679,Prognoses of seriously ill hospitalized patients on the days before death: implications for patient care and public policy.,cmpm8aa0d3d3lsafwtteio7wd,"Troubling aspects of the experiences of patients at the ends of their lives have fueled interest in special benefits or privileges for this group. There is a presumption that being ""at the end of life",0.10,PubMed PMID 9017679: title has low overlap with claim
cmpm8kvj53hx9saer452mwta8,https://pubmed.ncbi.nlm.nih.gov/7521326,Dopamine antagonists in tic-related and psychotic spectrum obsessive compulsive disorder.,cmpm8kvjp3hxasaeru4zvc1ju,BACKGROUND: To determine the efficacy and safety of a serotonin selective reuptake inhibitor (SSRI) combined with moclobemide in the treatment of 11 patients with various DSM-III-R diagnoses. METHOD: ,0.00,PubMed PMID 7521326: title has low overlap with claim
cmpm3xoeb1bf9saer1f33e8mz,https://pubmed.ncbi.nlm.nih.gov/15817963,"HIV-TB co-infection: epidemiology, diagnosis & management.",cmpm3xoev1bfasaertxty902w,"HIV/AIDS pandemic has caused a resurgence of TB, resulting in increased morbidity and mortality worldwide. HIV and Mycobacterium tuberculosis have a synergistic interaction; each accentuates progressi",0.00,PubMed PMID 15817963: title has low overlap with claim
cmpm40t751cw3saer5aqgo37z,https://pubmed.ncbi.nlm.nih.gov/23390376,CTLA-4 blockade in tumor models: an overview of preclinical and translational research.,cmpm40t7p1cw4saerqxs7ygwx,Cytotoxic T lymphocyte antigen-4 (CTLA-4) is a key negative regulator of T cell activation. A complex integration of positive and negative co-stimulatory signals in the well-defined B7:CD28/CTLA-4 pat,0.13,PubMed PMID 23390376: title has low overlap with claim
cmpm6zyec2u10sadnjjul8kdn,https://pubmed.ncbi.nlm.nih.gov/15198281,Why people 'freeze' in an emergency: temporal and cognitive constraints on survival responses.,cmpm6zyey2u11sadni3pcrbcf,BACKGROUND: Many witnesses attest that victims of a disaster often perish despite reasonable possibilities for escaping because their behavior during the initial moments of the accident was inappropri,0.00,PubMed PMID 15198281: title has low overlap with claim
cmpm7aj4v2w7rsaerbthd9xh2,https://pubmed.ncbi.nlm.nih.gov/20496534,General principles of chemotherapy.,cmpm7aj5g2w7ssaerv4tz02vm,"BACKGROUND AND OBJECTIVE: Over the last 50 years, medical treatment of solid cancers gained major advances in terms of effectiveness through breakthrough knowledge of cancer biology, technology develo",0.00,PubMed PMID 20496534: title has low overlap with claim
cmpm7kye63133saer6dviss5s,https://pubmed.ncbi.nlm.nih.gov/26522484,"Gestational trophoblastic diseases - clinical guidelines for diagnosis, treatment, follow-up, and counselling.",cmpm7kyeq3134saer3ohvxvbb,"Hydatidiform mole is treated with surgical uterine evacuation with suction and blunt curettage (D). Medical uterine evacuation should not be used (C). On clinical suspicion of hydatidiform mole, one r",0.00,PubMed PMID 26522484: title has low overlap with claim
cmpmbjo7j4vzrsaergbg8i9or,https://pubmed.ncbi.nlm.nih.gov/18450228,Pharmacokinetics of vitamin C: insights into the oral and intravenous administration of ascorbate.,cmpmbjo854vzssaerajbxzrxr,"There is a strong advocacy movement for large doses of vitamin C. Some authors argue that the biological half-life for vitamin C at high plasma levels is about 30 minutes, but these reports are the su",0.13,PubMed PMID 18450228: title has low overlap with claim
cmpmblk9c4zrosadn16bzpcgv,https://pubmed.ncbi.nlm.nih.gov/3059243,The neurobiology of learning and memory: elucidation of the mechanisms of cognitive dysfunction.,cmpmblk9w4zrpsadn6stj66y0,"This paper reviews evidence which suggests that there is a series of events at the synaptic level, beginning with synaptic activation, responsible for the formation of memories. Synaptic use above rou",0.00,PubMed PMID 3059243: title has low overlap with claim
cmpmc6k8h56oxsaerivv6gd9x,https://pubmed.ncbi.nlm.nih.gov/4586023,Brain research and violent behavior. A summary and evaluation of the status of biomedical research on brain and aggressive violent behavior. Neuroanatomical and neurophysiologic studies.,cmpmc6k9156oysaer6d00uj0z,The development and use of biomedical methods for the treatment of behavioral disorders during the past decade has generated discussion in the scientific community about issues of efficacy and safety ,0.09,PubMed PMID 4586023: title has low overlap with claim
cmpm8sr713lm3saeruny8xtk7,https://pubmed.ncbi.nlm.nih.gov/15653670,The promise of targeted {alpha}-particle therapy.,cmpm8sr7m3lm4saerndu77z00,The use of monoclonal antibodies to deliver radioisotopes directly to tumor cells has become a promising strategy to enhance the antitumor effects of native antibodies. Since the alpha- and beta-parti,0.00,PubMed PMID 15653670: title has low overlap with claim
cmpm8zhvf3osfsaeryjm0b05d,https://pubmed.ncbi.nlm.nih.gov/15742586,The challenge of assuring continued post-trial access to beneficial treatment.,cmpm8zhvx3osgsaerc87d3z21,Sam Jones has agreed to participate in a clinical trial testing an experimental drug as a possible treatment for his chronic disease. The primary outcome of effectiveness is a decrease in a specific d,0.14,PubMed PMID 15742586: title has low overlap with claim
cmpm9mql23znfsaery3kv0tgk,https://pubmed.ncbi.nlm.nih.gov/3864526,Properties of antitumor anthracyclines and new developments in their application: Cain memorial award lecture.,cmpm9mqlm3zngsaerd0b34v2v,The established efficacy of doxorubicin in the medical treatment of cancer is hampered by dose limiting side effects and lack of activity on major clinical tumors. The new derivative epirubicin (4'-ep,0.00,PubMed PMID 3864526: title has low overlap with claim
cmpmcl99z5djxsaerg9669pft,https://pubmed.ncbi.nlm.nih.gov/9219775,Diagnosis and treatment of gastrointestinal bleeding secondary to portal hypertension. American College of Gastroenterology Practice Parameters Committee.,cmpmcl9ah5djysaerd52dvhea,"Guidelines for clinical practice are intended to suggest preferable approaches to particular medical problems as established by interpretation and collation of scientifically valid research, derived f",0.08,PubMed PMID 9219775: title has low overlap with claim
cmpmcd5yv59sqsafwxfco3inw,https://pubmed.ncbi.nlm.nih.gov/10134748,The incidence of mandated maternity benefits.,cmpmcd5zf59srsafwk9l7uprh,I consider the labor-market effects of mandates which raise the costs of employing a demographically identifiable group. The efficiency of these policies will be largely dependent on the extent to whi,0.00,PubMed PMID 10134748: title has low overlap with claim
cmpmcpyyp5frfsaerjpqa6x37,https://pubmed.ncbi.nlm.nih.gov/10954683,Detection and prevention of NSAID-induced enteropathy.,cmpmcpyza5frgsaeracal8igb,"Non-steroidal anti-inflammatory drugs (NSAIDs) may cause damage distal to the duodenum. We reviewed the prevalence, clinical spectrum, assessment, pathogenesis, and treatment of adverse effects of NSA",0.00,PubMed PMID 10954683: title has low overlap with claim
cmpmcr7x65gclsaerxh8tf45w,https://pubmed.ncbi.nlm.nih.gov/9227671,Efficacy issues with antidepressants.,cmpmcr7xp5gcmsaer4lo5423p,"Clinical trials of antidepressant medications have shown that, overall, these drugs are effective, as measured by a > or = 50% decrease in Hamilton Rating Scale for Depression (HAM-D) total scores in ",0.00,PubMed PMID 9227671: title has low overlap with claim
cmpmct6b35h9qsafwkio638wj,https://pubmed.ncbi.nlm.nih.gov/25336869,"Pharmaceutical innovation: impact on expenditure and outcomes and subsequent challenges for pharmaceutical policy, with a special reference to Greece.",cmpmct6bn5h9rsafwrcxdkrvm,"Over the recent decades, advances in healthcare technology have led to significant improvements in the quality of healthcare and in population health. At the same time, technological change in healthc",0.09,PubMed PMID 25336869: title has low overlap with claim
cmpmcxdd75m7csadnx5qv45is,https://pubmed.ncbi.nlm.nih.gov/11594296,Hypoglycaemia and cognitive function in diabetes.,cmpmcxdds5m7dsadnq3ht1aie,"The human brain is almost totally dependent on a continuous supply of glucose, deprivation of which rapidly causes malfunction. In the brain there are regional differences in the susceptibility to neu",0.00,PubMed PMID 11594296: title has low overlap with claim
cmpomyg6j02aosawxtdb4tpp3,https://pubmed.ncbi.nlm.nih.gov/10937349,Biochemical studies of a natural antioxidant isolated from rosemary and its application in cosmetic dermatology.,cmpomyg7202apsawx1ayb4pzw,"Oxidative damage to DNA, RNA, proteins and cell membranes occurs when the cellular concentration of reactive oxygen species exceeds the capacity of the cell to eliminate them. Aerobic prokaryotic and ",0.00,PubMed PMID 10937349: title has low overlap with claim
cmpon0vob03g0sawxgd90sh3v,https://pubmed.ncbi.nlm.nih.gov/20480790,Nanoparticles: a closer look at their dermal effects.,cmpon0vov03g1sawxkjhfnst6,Nano-sized particles represent a unique class of materials with novel physiochemical properties due to increased surface area. Many sunscreens and cosmetics are now using nano-sized titanium dioxide a,0.00,PubMed PMID 20480790: title has low overlap with claim
cmpon3wmd04uosawx32dlvaxq,https://pubmed.ncbi.nlm.nih.gov/25807336,Male aesthetics.,cmpon3wmx04upsawxjhea6tmd,"Men are a fast growing segment of the aesthetic industry. A review was performed for publications on gender differences in facial anatomy, behavior, and the use of minimally invasive aesthetic procedu",0.00,PubMed PMID 25807336: title has low overlap with claim
cmponappu07zosawx7ymusnxo,https://pubmed.ncbi.nlm.nih.gov/18649706,Soft tissue augmentation: nonsurgical approaches to treatment of the mid and lower facial regions.,cmponapqe07zpsawxyic5agq0,"Fillers are playing an increasing role in dermatology practice, complementing the use of laser and other procedures used in skin rejuvenation. Prior to the injection of any filler, the patient should ",0.00,PubMed PMID 18649706: title has low overlap with claim
cmpondee2098usawxauct04cq,https://pubmed.ncbi.nlm.nih.gov/23135651,"Six steps to the ""perfect"" lip.",cmpondeep098vsawxi5ol53fj,"Full lips have always been associated with youth and beauty. Because of this, lip enhancement is one of the most frequently requested procedures in a cosmetic practice. For novice injectors, we recomm",0.00,PubMed PMID 23135651: title has low overlap with claim
cmq3fiayf18uosavct4z1p5ko,https://pubmed.ncbi.nlm.nih.gov/11658336,Deciding who gets what.,cmq3fiayz18upsavcyh06m95p,"Gerald R. Winslow's book, Triage and Justice, is reviewed, beginning with a brief discussion of the triage theory of medical care in the context of war, natural disasters, and the allocation of scarce",0.00,PubMed PMID 11658336: title has low overlap with claim
cmq3lhd544ua0savcwj6tkl2t,https://pubmed.ncbi.nlm.nih.gov/24478567,GENERALIZED DOUBLE PARETO SHRINKAGE.,cmq3lhd5n4ua1savcqsb0t1gf,"-like tail behavior. Bayesian computation is straightforward via a simple Gibbs sampling algorithm. We investigate the properties of the maximum a posteriori estimator, as sparse estimation plays an i",0.00,PubMed PMID 24478567: title has low overlap with claim
cmq3t42au9fdusavc1m420g3c,https://pubmed.ncbi.nlm.nih.gov/25309137,Node-Based Learning of Multiple Gaussian Graphical Models.,cmq3t42bf9fdvsavcqsai6tqs,"penalty function, we formulate two convex optimization problems that correspond to these two assumptions. We solve these problems using an alternating direction method of multipliers algorithm, and we",0.00,PubMed PMID 25309137: title has low overlap with claim
cmponfqr10accsawxb9bs8vuh,https://pubmed.ncbi.nlm.nih.gov/17684841,Rejuvenation of the aging face using fractional photothermolysis and intense pulsed light: a new technique.,cmponfqrk0acdsawxsrjeh6n6,"Photoaging is an inevitable occurrence for people who have a fair skin type, who live in a sunny climate, and who enjoy the outdoors. In the past the remedies for this condition were limited to dermab",0.00,PubMed PMID 17684841: title has low overlap with claim
cmponuzii0heusawx1j4ibjv4,https://pubmed.ncbi.nlm.nih.gov/40819205,"A Comparative Analysis of the Complication Rate in ""Mommy Makeover"" Procedures and Abdominoplasty.",cmponuziz0hevsawxci5ytq2u,BACKGROUND: Abdominoplasties are among the most common procedures in aesthetic plastic surgery. The target audience are patients after massive weight loss who are left with excess skin and post-partum,0.14,PubMed PMID 40819205: title has low overlap with claim
cmpoo5qhx0mf6sawxmjbamxsg,https://pubmed.ncbi.nlm.nih.gov/15303781,Improved quality of life with effective treatment of facial melasma: the pigment trial.,cmpoo5qid0mf7sawx58dytndh,Melasma is a common hyperpigmentation of the face or neck that can have severe adverse psychological and emotional effects on affected individuals. Although a variety of treatments have been used over,0.13,PubMed PMID 15303781: title has low overlap with claim
cmpoo6voy0mxusawxe98j9k76,https://pubmed.ncbi.nlm.nih.gov/22220462,Melasma--updated treatments.,cmpoo6vpi0mxvsawxfvscgln4,"Melasma is a common, acquired facial skin disorder, mostly involving sun-exposed areas like cheeks, forehead and upper lip. Melasma occurs in both sexes, although almost 90 percent of the affected are",0.00,PubMed PMID 22220462: title has low overlap with claim
cmpoo803h0ngosawxpiov72hw,https://pubmed.ncbi.nlm.nih.gov/16302566,Q-switched alexandrite laser-assisted treatment of melasma: 2-year follow-up monitoring.,cmpoo80400ngpsawxz2d6j29f,"Melasma is a common disorder of hyperpigmentation involving sun exposed face and neck areas. Three clinical patterns of melasma are recognized: the centrofacial, the malar, and the mandibular ones. Se",0.13,PubMed PMID 16302566: title has low overlap with claim
cmq3e6hfk0ge0savcbuv40cr1,https://pubmed.ncbi.nlm.nih.gov/21552465,Spectral Regularization Algorithms for Learning Large Incomplete Matrices.,cmq3e6hg40ge1savctneql4tm,"We use convex relaxation techniques to provide a sequence of regularized low-rank solutions for large-scale matrix completion problems. Using the nuclear norm as a regularizer, we provide a simple and",0.00,PubMed PMID 21552465: title has low overlap with claim
cmq3mxct65pj6savctvpjk8k7,https://pubmed.ncbi.nlm.nih.gov/31130828,Matrix Completion and Low-Rank SVD via Fast Alternating Least Squares.,cmq3mxctr5pj7savcl89wdol9,"The matrix-completion problem has attracted a lot of attention, largely as a result of the celebrated Netflix competition. Two popular approaches for solving the problem are nuclear-norm-regularized m",0.14,PubMed PMID 31130828: title has low overlap with claim
cmpmabnaa4befsaerqae5vl49,https://pubmed.ncbi.nlm.nih.gov/26373225,Local Drug Delivery Systems in the Treatment of Periodontitis: A Literature Review.,cmpmabnav4begsaerdxjchd1j,"In order to complement non-surgical therapy in periodontitis, there are multiple options of antimicrobials, such as metronidazole, chlorhexidine, minocycline, doxycycline and tetracycline, which can b",0.14,PubMed PMID 26373225: title has low overlap with claim
